2020/09/30                                                                                                                                                                                                                                                                                                                                                                             Dynamic List Display                                                                                                                                                                                                                                                                                                                                                                                    1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PEB,Invoice Doc,Material,DistChnl Desc,Ship-to-Party,SubDiv Desc,EndCust Code,BillT,Sold-to-Party,Sold-to-Party Name,Div Desc,RefDoc,EndCust Short Name,Posting Date,Div,Doc Curr,Invoiced Quantity,   Net value,Net Value Local,,
337903,903094927,AN44069A-VF,Sales Co. (B&S),29817,A-LSI,20203616,ZF2,29817,NTSG-SALES,ANALOG LSI,803095893,CANON.HK,2020-09-17,20,US$,"3,000.00",930.15,930.15,,
337956,903094928,AN44069A-VF,Sales Co. (B&S),29817,A-LSI,80943561,ZF2,29817,NTSG-SALES,ANALOG LSI,803095855,SATORI,2020-09-17,20,US$,"5,000.00","1,840.90","1,840.90",,
338539,903094929,MIP5310MFL,Sales Co. (B&S),29817,IPD,80954639,ZF2,29817,NTSG-SALES,DISCRETE,803095843,OMRON,2020-09-17,10,US$,"2,000.00",394.82,394.82,,
338539,903094930,MIP5310MFL,Sales Co. (B&S),29817,IPD,80954639,ZF2,29817,NTSG-SALES,DISCRETE,803095844,OMRON,2020-09-17,10,US$,"8,000.00","1,579.28","1,579.28",,
324659,903094834,MIP5310MFL,Sales Co. (B&S),29817,IPD,29319,ZF2,29817,NTSG-SALES,DISCRETE,803095788,PASDL,2020-09-08,10,US$,"2,000.00",973.18,973.18,,
324659,903094835,MIP0222SUL,Sales Co. (B&S),29817,IPD,29338,ZF2,29817,NTSG-SALES,DISCRETE,803095794,PAPWMHZ,2020-09-08,10,US$,"42,000.00","13,574.82","13,574.82",,
324651,903094836,AN44161A-VF,Sales Co. (B&S),29817,A-LSI,80931821,ZF2,29817,NTSG-SALES,ANALOG LSI,803095797,IMK,2020-09-08,20,US$,"3,000.00","1,562.97","1,562.97",,
324659,903094837,AN44000A-VF,Sales Co. (B&S),29817,A-LSI,80964324,ZF2,29817,NTSG-SALES,ANALOG LSI,803095796,ZHMM,2020-09-08,20,US$,"3,000.00","1,589.73","1,589.73",,
321983,903094838,MN101CB0DMA,Buy Back,39173,MN-DD,29288,ZF2,39173,GPRC,SYSTEM LSI,803095802,NTCJ,2020-09-05,30,US$,500,380,380,,
321983,903094838,MN101CB0GHK,Buy Back,39173,MN-DD,29288,ZF2,39173,GPRC,SYSTEM LSI,803095802,NTCJ,2020-09-05,30,US$,"1,000.00",723.8,723.8,,
